Player,Nation,Position,Squad,Competition,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Matteo Darmian,it ITA,DF,Inter,It Serie A,33,33,27,2404,26.7,2,1,3,2,0,0,2,0,1.2,1.2,1.8,3.0,18,72,82,0.07,0.04,0.11,0.07,0.11,0.04,0.07,0.11,0.04,0.11
Lukas Daschner,de GER,"MF,FW",Bochum,De Bundesliga,24,20,3,536,6.0,1,1,2,1,0,0,2,0,2.3,2.3,1.0,3.3,11,17,37,0.17,0.17,0.34,0.17,0.34,0.39,0.16,0.55,0.39,0.55
Josh Dasilva,eng ENG,"DF,FW",Brentford,Eng Premier League,24,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.72,0.00,0.72
David Datro Fofana,ci CIV,FW,Burnley,Eng Premier League,20,15,10,879,9.8,4,1,5,4,0,0,1,0,4.5,4.5,1.8,6.4,21,15,39,0.41,0.10,0.51,0.41,0.51,0.46,0.19,0.65,0.46,0.65
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,De Bundesliga,20,12,8,682,7.6,1,0,1,1,0,0,0,0,2.8,2.8,0.3,3.1,20,14,66,0.13,0.00,0.13,0.13,0.13,0.37,0.05,0.41,0.37,0.41
Juan David Cabal,co COL,DF,Hellas Verona,It Serie A,22,22,17,1497,16.6,0,0,0,0,0,0,6,0,0.5,0.5,0.4,0.9,26,70,48,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
Jonathan David,ca CAN,FW,Lille,Fr Ligue 1,23,34,30,2629,29.2,19,4,23,17,2,3,4,0,17.5,15.0,3.3,18.3,47,79,198,0.65,0.14,0.79,0.58,0.72,0.60,0.11,0.71,0.51,0.63
Alphonso Davies,ca CAN,DF,Bayern Munich,De Bundesliga,22,29,24,2065,22.9,2,5,7,2,0,0,0,0,1.0,1.0,2.9,3.8,121,117,139,0.09,0.22,0.31,0.09,0.31,0.04,0.12,0.17,0.04,0.17
Player,Nation,POS,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ben Davies,wls WAL,DF,Tottenham,Eng Premier League,30,17,12,1090,12.1,1,0,1,1,0,0,2,0,2.3,2.3,0.4,2.7,13,71,20,0.08,0.00,0.08,0.08,0.08,0.19,0.03,0.23,0.19,0.23
Tom Davies,eng ENG,MF,Sheffield Utd,Eng Premier League,25,9,2,221,2.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,3,8,3,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.17,0.14,0.17
Keinan Davis,eng ENG,"FW,MF",Udinese,It Serie A,25,8,0,186,2.1,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,2,6,15,0.48,0.00,0.48,0.48,0.48,0.24,0.04,0.28,0.24,0.28
Paweł Dawidowicz,pl POL,DF,Hellas Verona,It Serie A,28,28,25,2143,23.8,0,0,0,0,0,0,5,0,0.5,0.5,0.0,0.6,11,89,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Craig Dawson,eng ENG,DF,Wolves,Eng Premier League,33,25,25,2209,24.5,1,1,2,1,0,0,7,0,1.5,1.5,1.4,2.9,1,49,4,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.12,0.06,0.12
Kevin De Bruyne,be BEL,MF,Manchester City,Eng Premier League,32,18,15,1221,13.6,4,10,14,4,0,0,2,0,2.4,2.4,11.5,14.0,47,111,133,0.29,0.74,1.03,0.29,1.03,0.18,0.85,1.03,0.18,1.03
Charles De Ketelaere,be BEL,"FW,MF",Atalanta,It Serie A,22,35,25,2026,22.5,10,8,18,9,1,1,1,0,7.1,6.3,6.1,12.4,88,126,219,0.44,0.36,0.80,0.40,0.76,0.31,0.27,0.59,0.28,0.55
Rodrigo De Paul,ar ARG,MF,Atlético Madrid,Es La Liga,29,34,25,2075,23.1,3,5,8,3,0,0,7,0,1.8,1.8,5.0,6.8,73,202,55,0.13,0.22,0.35,0.13,0.35,0.08,0.22,0.30,0.08,0.30
Mattia De Sciglio,it ITA,DF,Juventus,It Serie A,30,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lorenzo De Silvestri,it ITA,DF,Bologna,It Serie A,35,15,7,674,7.5,2,0,2,2,0,0,0,0,0.2,0.2,0.0,0.2,14,27,12,0.27,0.00,0.27,0.27,0.27,0.03,0.00,0.03,0.03,0.03
Thibault De Smet,be BEL,DF,Reims,Fr Ligue 1,25,27,22,1831,20.3,0,0,0,0,0,0,7,1,0.3,0.3,0.8,1.1,23,104,66,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Koni De Winter,be BEL,DF,Genoa,It Serie A,21,29,26,2380,26.4,0,1,1,0,0,0,8,1,0.8,0.8,1.0,1.8,21,76,15,0.00,0.04,0.04,0.00,0.04,0.03,0.04,0.07,0.03,0.07
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,It Serie A,32,20,7,757,8.4,1,2,3,1,0,0,0,0,1.0,1.0,1.2,2.2,7,17,42,0.12,0.24,0.36,0.12,0.36,0.12,0.14,0.26,0.12,0.26
Alessandro Deiola,it ITA,MF,Cagliari,It Serie A,27,27,19,1608,17.9,1,0,1,1,0,0,7,0,2.5,2.5,0.9,3.4,9,64,21,0.06,0.00,0.06,0.06,0.06,0.14,0.05,0.19,0.14,0.19
Romain Del Castillo,fr FRA,FW,Brest,Fr Ligue 1,27,33,30,2497,27.7,8,8,16,5,3,3,4,0,5.2,2.9,9.9,12.8,101,155,287,0.29,0.29,0.58,0.18,0.47,0.19,0.36,0.55,0.10,0.46
Thomas Delaine,fr FRA,"DF,MF",Strasbourg,Fr Ligue 1,31,27,24,2044,22.7,1,1,2,1,0,0,5,0,1.7,1.7,3.6,5.3,63,52,151,0.04,0.04,0.09,0.04,0.09,0.07,0.16,0.23,0.07,0.23
Sacha Delaye,fr FRA,"MF,FW",Montpellier,Fr Ligue 1,21,9,0,130,1.4,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,4,8,0.00,0.00,0.00,0.00,0.00,0.23,0.07,0.30,0.23,0.30
Hannes Delcroix,be BEL,DF,Burnley,Eng Premier League,24,12,5,589,6.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,2,18,6,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.09
Alessandro Dellavalle,it ITA,DF,Torino,It Serie A,19,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Olivier Deman,be BEL,DF,Werder Bremen,De Bundesliga,23,29,14,1365,15.2,2,1,3,2,0,0,5,0,1.1,1.1,0.9,2.0,26,40,53,0.13,0.07,0.20,0.13,0.20,0.07,0.06,0.13,0.07,0.13
Karamoko Dembele,sct SCO,"MF,FW",Brest,Fr Ligue 1,20,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ousmane Dembélé,fr FRA,"MF,FW",Paris S-G,Fr Ligue 1,26,26,17,1506,16.7,3,8,11,3,0,0,0,0,4.4,4.4,6.7,11.1,160,133,247,0.18,0.48,0.66,0.18,0.66,0.26,0.40,0.67,0.26,0.67
Jessy Deminguet,fr FRA,"MF,FW",Strasbourg,Fr Ligue 1,25,18,9,690,7.7,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,7,24,13,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09
Ermedin Demirović,ba BIH,"FW,MF",Augsburg,De Bundesliga,25,33,33,2873,31.9,15,9,24,12,3,4,7,0,13.5,10.3,3.9,14.2,28,60,167,0.47,0.28,0.75,0.38,0.66,0.42,0.12,0.54,0.32,0.45
Diego Demme,de GER,MF,Napoli,It Serie A,31,2,1,73,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Player,Nation,POS,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Sepp van den Berg,nl NED,DF,Mainz 05,De Bundesliga,21,33,31,2839,31.5,3,0,3,3,0,0,9,0,2.7,2.7,0.3,3.0,7,95,6,0.10,0.00,0.10,0.10,0.10,0.08,0.01,0.09,0.08,0.09
Leander Dendoncker,be BEL,MF,Aston Villa,Eng Premier League,28,8,1,119,1.3,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,3,2,0.76,0.00,0.76,0.76,0.76,0.56,0.00,0.56,0.56,0.56
Leander Dendoncker,be BEL,MF,Napoli,It Serie A,28,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
Rémy Descamps,fr FRA,GK,Nantes,Fr Ligue 1,27,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mikkel Desler,dk DEN,DF,Toulouse,Fr Ligue 1,28,24,19,1544,17.2,0,1,1,0,0,0,2,0,1.1,1.0,0.7,1.7,30,81,96,0.00,0.06,0.06,0.00,0.06,0.06,0.04,0.10,0.06,0.10
Arthur Desmas,fr FRA,GK,Le Havre,Fr Ligue 1,29,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Mattia Destro,it ITA,"FW,MF",Empoli,It Serie A,32,15,3,366,4.1,0,0,0,0,0,0,2,0,1.2,1.2,0.3,1.5,4,4,19,0.00,0.00,0.00,0.00,0.00,0.29,0.08,0.37,0.29,0.37
Samuele Di Benedetto,de GER,MF,Stuttgart,De Bundesliga,18,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30
Federico Di Francesco,it ITA,"FW,MF",Lecce,It Serie A,29,2,0,15,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,6.00,0.00,6.00,6.00,6.00,0.53,0.00,0.53,0.53,0.53
Raffaele Di Gennaro,it ITA,GK,Inter,It Serie A,29,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Michele Di Gregorio,it ITA,GK,Monza,It Serie A,26,33,33,2872,31.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Giovanni Di Lorenzo,it ITA,DF,Napoli,It Serie A,29,36,36,3234,35.9,1,6,7,1,0,0,6,0,3.1,3.1,4.9,8.0,95,304,250,0.03,0.17,0.19,0.03,0.19,0.09,0.14,0.22,0.09,0.22
Alessandro Di Pardo,it ITA,"DF,MF",Cagliari,It Serie A,24,15,2,359,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,11,19,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
Boulaye Dia,sn SEN,"FW,MF",Salernitana,It Serie A,26,17,12,1143,12.7,4,0,4,3,1,1,1,0,3.9,3.1,0.5,3.6,18,22,57,0.31,0.00,0.31,0.24,0.24,0.31,0.04,0.35,0.24,0.28
Moussa Diaby,fr FRA,"FW,MF",Aston Villa,Eng Premier League,24,38,25,2174,24.2,6,8,14,6,0,0,1,0,7.0,7.0,6.6,13.6,94,72,183,0.25,0.33,0.58,0.25,0.58,0.29,0.27,0.56,0.29,0.56
Lamine Diack,sn SEN,MF,Nantes,Fr Ligue 1,22,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mouctar Diakhaby,gn GUI,"DF,MF",Valencia,Es La Liga,26,14,12,1073,11.9,1,0,1,1,0,0,6,0,0.7,0.7,0.0,0.8,7,29,1,0.08,0.00,0.08,0.08,0.08,0.06,0.00,0.06,0.06,0.06
Mamadou Diakhon,fr FRA,"FW,MF",Reims,Fr Ligue 1,17,11,1,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,11,1,16,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.11,0.01,0.11
Bafodé Diakité,fr FRA,DF,Lille,Fr Ligue 1,22,21,19,1696,18.8,5,2,7,5,0,0,4,0,2.0,2.0,1.4,3.5,15,95,16,0.27,0.11,0.37,0.27,0.37,0.11,0.08,0.19,0.11,0.19
Ibrahim Diakité,gn GUI,DF,Reims,Fr Ligue 1,19,5,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,7,7,9,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16
Moussa Diakité,ml MLI,MF,Cádiz,Es La Liga,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oumar Diakité,ci CIV,FW,Reims,Fr Ligue 1,19,28,18,1585,17.6,5,1,6,5,0,1,4,0,7.0,6.2,1.3,7.5,29,28,107,0.28,0.06,0.34,0.28,0.34,0.40,0.07,0.47,0.35,0.43
Amad Diallo,ci CIV,"FW,MF",Manchester Utd,Eng Premier League,21,9,3,390,4.3,1,1,2,1,0,0,1,0,0.5,0.5,1.1,1.6,11,10,31,0.23,0.23,0.46,0.23,0.46,0.12,0.24,0.36,0.12,0.36
Amadou Diallo,eng ENG,MF,Newcastle Utd,Eng Premier League,20,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Assane Diao,es ESP,FW,Betis,Es La Liga,17,18,13,1048,11.6,2,0,2,2,0,0,4,0,2.5,2.5,0.7,3.2,33,20,101,0.17,0.00,0.17,0.17,0.17,0.21,0.06,0.28,0.21,0.28
Player,Nation,POS,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Habib Diarra,sn SEN,"MF,FW",Strasbourg,Fr Ligue 1,19,31,28,2305,25.6,3,1,4,2,1,1,3,0,3.4,2.7,1.3,3.9,59,107,88,0.12,0.04,0.16,0.08,0.12,0.13,0.05,0.18,0.10,0.15
Moussa Diarra,ml MLI,DF,Toulouse,Fr Ligue 1,22,22,15,1397,15.5,1,2,3,1,0,0,5,0,0.5,0.5,1.1,1.6,18,70,12,0.06,0.13,0.19,0.06,0.19,0.03,0.07,0.10,0.03,0.10
Rúben Dias,pt POR,DF,Manchester City,Eng Premier League,26,30,28,2559,28.4,0,0,0,0,0,0,0,0,1.4,1.4,0.3,1.7,34,173,16,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
Krépin Diatta,sn SEN,"DF,FW",Monaco,Fr Ligue 1,24,26,12,1206,13.4,0,2,2,0,0,0,2,0,0.5,0.5,1.8,2.3,48,80,95,0.00,0.15,0.15,0.00,0.15,0.04,0.13,0.17,0.04,0.17
Mory Diaw,sn SEN,GK,Clermont Foot,Fr Ligue 1,30,30,30,2700,30.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mahamadou Diawara,fr FRA,MF,Lyon,Fr Ligue 1,18,11,4,358,4.0,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.9,13,20,14,0.00,0.00,0.00,0.00,0.00,0.19,0.03,0.22,0.19,0.22
Brahim Díaz,ma MAR,"FW,MF",Real Madrid,Es La Liga,23,31,18,1545,17.2,8,6,14,8,0,0,0,0,5.7,5.7,4.4,10.1,76,75,166,0.47,0.35,0.82,0.47,0.82,0.33,0.26,0.59,0.33,0.59
Luis Díaz,co COL,FW,Liverpool,Eng Premier League,26,37,32,2629,29.2,8,5,13,8,0,0,3,0,11.9,11.9,5.7,17.5,137,113,302,0.27,0.17,0.45,0.27,0.45,0.41,0.19,0.60,0.41,0.60
Víctor Díaz,es ESP,"DF,MF",Granada,Es La Liga,35,4,2,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Famara Diedhiou,sn SEN,"FW,MF",Granada,Es La Liga,30,8,0,89,1.0,0,1,1,0,0,0,1,0,0.5,0.5,0.2,0.7,5,0,19,0.00,1.01,1.01,0.00,1.01,0.50,0.21,0.71,0.50,0.71
Justin Diehl,de GER,"FW,MF",Köln,De Bundesliga,18,7,1,168,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,2,17,0.00,0.00,0.00,0.00,0.00,0.12,0.10,0.23,0.12,0.23
Bamba Dieng,sn SEN,FW,Lorient,Fr Ligue 1,23,16,5,549,6.1,4,1,5,4,0,0,3,0,3.2,3.2,1.6,4.8,5,4,44,0.66,0.16,0.82,0.66,0.82,0.53,0.27,0.79,0.53,0.79
Eric Dier,eng ENG,DF,Tottenham,Eng Premier League,29,4,1,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eric Dier,eng ENG,DF,Bayern Munich,De Bundesliga,29,15,13,1166,13.0,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.7,8,53,1,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
Guillaume Dietsch,fr FRA,GK,Metz,Fr Ligue 1,22,1,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florian Dietz,de GER,"FW,MF",Köln,De Bundesliga,24,5,0,70,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0,0,8,0.00,0.00,0.00,0.00,0.00,0.34,0.12,0.46,0.34,0.46
Lucas Digne,fr FRA,DF,Aston Villa,Eng Premier League,30,33,27,2410,26.8,1,3,4,1,0,0,7,0,1.1,1.1,4.1,5.2,42,77,200,0.04,0.11,0.15,0.04,0.15,0.04,0.15,0.19,0.04,0.19
Federico Dimarco,it ITA,DF,Inter,It Serie A,25,30,29,2077,23.1,5,6,11,5,0,0,0,0,2.9,2.7,8.5,11.1,51,100,198,0.22,0.26,0.48,0.22,0.48,0.13,0.37,0.49,0.12,0.48
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,Es La Liga,29,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,De Bundesliga,22,31,25,1956,21.7,5,3,8,5,0,0,5,0,5.0,5.0,2.9,7.9,57,79,157,0.23,0.14,0.37,0.23,0.37,0.23,0.13,0.36,0.23,0.36
Eren Dinkçi,de GER,"FW,MF",Heidenheim,De Bundesliga,21,33,33,2650,29.4,10,5,15,10,0,0,8,0,4.3,4.3,3.7,8.0,85,89,143,0.34,0.17,0.51,0.34,0.51,0.15,0.13,0.27,0.15,0.27
Sinaly Diomande,ci CIV,DF,Lyon,Fr Ligue 1,22,10,10,889,9.9,0,0,0,0,0,0,2,0,1.0,1.0,0.7,1.7,5,43,0,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17
Edan Diop,fr FRA,"MF,DF",Monaco,Fr Ligue 1,18,10,0,163,1.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,4,7,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Issa Diop,fr FRA,DF,Fulham,Eng Premier League,26,18,16,1424,15.8,0,0,0,0,0,0,4,1,0.3,0.3,0.0,0.3,11,66,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Sofiane Diop,fr FRA,FW,Nice,Fr Ligue 1,23,10,6,499,5.5,0,0,0,0,0,0,0,0,1.2,1.2,0.8,2.0,20,17,43,0.00,0.00,0.00,0.00,0.00,0.22,0.14,0.36,0.22,0.36
Player,Nation,POS,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Andy Diouf,fr FRA,MF,Lens,Fr Ligue 1,20,25,16,1314,14.6,1,0,1,1,0,0,2,0,1.5,1.5,1.1,2.6,63,80,55,0.07,0.00,0.07,0.07,0.07,0.10,0.08,0.18,0.10,0.18
Yehvann Diouf,fr FRA,GK,Reims,Fr Ligue 1,23,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Axel Disasi,fr FRA,DF,Chelsea,Eng Premier League,25,31,29,2579,28.7,2,0,2,2,0,0,6,0,2.4,2.4,0.3,2.7,30,112,21,0.07,0.00,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09
Tiago Djaló,pt POR,DF,Juventus,It Serie A,23,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chaim El Djebali,tn TUN,MF,Lyon,Fr Ligue 1,19,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Djené,tg TOG,"DF,MF",Getafe,Es La Liga,31,33,30,2484,27.6,0,0,0,0,0,0,14,1,0.1,0.1,0.3,0.4,13,98,19,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02
Koffi Djidji,ci CIV,DF,Torino,It Serie A,30,13,8,759,8.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,19,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Berat Djimsiti,al ALB,DF,Atalanta,It Serie A,30,37,32,2832,31.5,0,1,1,0,0,0,5,0,0.8,0.8,0.7,1.5,6,79,10,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05
Marko Dmitrović,rs SRB,GK,Sevilla,Es La Liga,31,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ben Doak,sct SCO,FW,Liverpool,Eng Premier League,17,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ritsu Doan,jp JPN,"DF,MF",Freiburg,De Bundesliga,25,30,26,2246,25.0,7,2,9,7,0,0,2,0,5.0,5.0,3.1,8.1,49,78,139,0.28,0.08,0.36,0.28,0.36,0.20,0.12,0.32,0.20,0.32
Lewis Dobbin,eng ENG,MF,Everton,Eng Premier League,20,12,1,232,2.6,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,6,3,20,0.39,0.00,0.39,0.39,0.39,0.11,0.19,0.30,0.11,0.30
Dodô,br BRA,DF,Fiorentina,It Serie A,24,9,7,523,5.8,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,20,39,21,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.15,0.01,0.15
Danilho Doekhi,nl NED,DF,Union Berlin,De Bundesliga,25,24,24,2160,24.0,2,0,2,2,0,0,2,0,1.2,1.2,0.2,1.3,7,65,6,0.08,0.00,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06
Matt Doherty,ie IRL,"DF,MF",Wolves,Eng Premier League,31,30,9,1150,12.8,1,0,1,1,0,0,2,0,0.8,0.8,1.3,2.2,12,31,64,0.08,0.00,0.08,0.08,0.08,0.07,0.10,0.17,0.07,0.17
Josh Doig,sct SCO,DF,Hellas Verona,It Serie A,21,12,11,830,9.2,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,23,15,22,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
Josh Doig,sct SCO,DF,Sassuolo,It Serie A,21,16,15,1343,14.9,0,2,2,0,0,0,5,0,0.2,0.2,1.1,1.3,30,33,45,0.00,0.13,0.13,0.00,0.13,0.01,0.08,0.09,0.01,0.09
Jeremy Doku,be BEL,"FW,MF",Manchester City,Eng Premier League,21,29,18,1595,17.7,3,8,11,3,0,0,3,0,2.5,2.5,4.6,7.1,218,57,295,0.17,0.45,0.62,0.17,0.62,0.14,0.26,0.40,0.14,0.40
Jeremy Doku,be BEL,FW,Rennes,Fr Ligue 1,21,2,1,111,1.2,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,11,5,19,0.81,0.00,0.81,0.81,0.81,0.48,0.16,0.64,0.48,0.64
Jaume Doménech,es ESP,GK,Valencia,Es La Liga,32,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Carlos Dominguez,es ESP,DF,Celta Vigo,Es La Liga,22,22,18,1584,17.6,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,11,63,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
Mario Dominguez,es ESP,FW,Valencia,Es La Liga,19,3,0,25,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.59
